TIME s, IN1, IN2
2.5, 0.499647, 2.823948
2.495, 0.493937, 2.898874
2.49, 0.485372, 2.387308
2.485, 0.476806, 1.861532
2.48, 0.471096, 1.382262
2.476, 0.459675, 1.095475
2.471, 0.453965, 0.830649
2.466, 0.4454, 0.617496
2.461, 0.43969, 0.498648
2.456, 0.431124, 0.408219
2.451, 0.419704, 0.290663
2.446, 0.413993, 0.235114
2.441, 0.408283, 0.227363
2.437, 0.399718, 0.151145
2.432, 0.394008, 0.135643
2.427, 0.385442, 0.125308
2.422, 0.376877, 0.109806
2.417, 0.368311, 0.074926
2.412, 0.359746, 0.062008
2.407, 0.354036, 0.093012
2.402, 0.34547, 0.03488
2.397, 0.336905, 0.040047
2.393, 0.331195, 0.046506
2.388, 0.322629, 0.033588
2.383, 0.316919, 0.020669
2.378, 0.305499, 0.019378
2.373, 0.296933, 0.042631
2.368, 0.288368, -0.002584
2.363, 0.282658, 0.005167
2.358, 0.274092, 0.02842
2.354, 0.265527, -0.007751
2.349, 0.259817, -0.006459
2.344, 0.251251, -0.005167
2.339, 0.245541, 0.010335
2.334, 0.236976, -0.031004
2.329, 0.231265, -0.024545
2.324, 0.219845, 0.01421
2.319, 0.211279, -0.037463
2.314, 0.205569, -0.019378
2.31, 0.197004, -0.01421
2.305, 0.191293, -0.010335
2.3, 0.179873, -0.031004
2.295, 0.174163, -0.029712
2.29, 0.165597, 0.002584
2.285, 0.157032, -0.047798
2.28, 0.148467, -0.032296
2.275, 0.142756, -0.011627
2.271, 0.134191, -0.029712
2.266, 0.125626, -0.032296
2.261, 0.119915, -0.032296
2.256, 0.11135, -0.007751
2.251, 0.102785, -0.052965
2.246, 0.094219, -0.041339
2.241, 0.085654, -0.009043
2.236, 0.079944, -0.04909
2.231, 0.071378, -0.041339
2.227, 0.065668, -0.037463
2.222, 0.057103, -0.020669
2.217, 0.045682, -0.046506
2.212, 0.039972, -0.050382
2.207, 0.031406, -0.015502
2.202, 0.022841, -0.060716
2.197, 0.019986, -0.046506
2.192, 0.008565, -0.031004
2.188, 0.002855, -0.041339
2.183, -0.00571, -0.046506
2.178, -0.011421, -0.040047
2.173, -0.022841, -0.015502
2.168, -0.031406, -0.060716
2.163, -0.037117, -0.051673
2.158, -0.045682, -0.027129
2.153, -0.051392, -0.056841
2.148, -0.059958, -0.051673
2.144, -0.065668, -0.046506
2.139, -0.077088, -0.032296
2.134, -0.085654, -0.062008
2.129, -0.091364, -0.056841
2.124, -0.099929, -0.020669
2.119, -0.108495, -0.069759
2.114, -0.11135, -0.052965
2.109, -0.12277, -0.040047
2.104, -0.128481, -0.042631
2.1, -0.137046, -0.058133
2.095, -0.142756, -0.056841
2.09, -0.154177, -0.02842
2.085, -0.162742, -0.073635
2.08, -0.168452, -0.062008
2.075, -0.179873, -0.036171
2.07, -0.185583, -0.054257
2.065, -0.194149, -0.059424
2.061, -0.199859, -0.04909
2.056, -0.208424, -0.029712
2.051, -0.21699, -0.069759
2.046, -0.225555, -0.060716
2.041, -0.231265, -0.032296
2.036, -0.239831, -0.069759
2.031, -0.245541, -0.058133
2.026, -0.254106, -0.047798
2.021, -0.262672, -0.040047
2.017, -0.271237, -0.0633
2.012, -0.276947, -0.055549
2.007, -0.285513, -0.031004
2.002, -0.291223, -0.076218
1.997, -0.302643, -0.0633
1.992, -0.308354, -0.043922
1.987, -0.316919, -0.046506
1.982, -0.325484, -0.059424
1.978, -0.33405, -0.050382
1.973, -0.336905, -0.03488
1.968, -0.348325, -0.07751
1.963, -0.356891, -0.067175
1.958, -0.362601, -0.038755
1.953, -0.371166, -0.072343
1.948, -0.379732, -0.065884
1.943, -0.385442, -0.055549
1.938, -0.394008, -0.046506
1.934, -0.399718, -0.074926
1.929, -0.408283, -0.067175
1.924, -0.416849, -0.036171
1.919, -0.425414, -0.07751
1.914, -0.431124, -0.069759
1.909, -0.43969, -0.054257
1.904, -0.448255, -0.055549
1.899, -0.453965, -0.069759
1.895, -0.465386, -0.065884
1.89, -0.471096, -0.042631
1.885, -0.479661, -0.078802
1.88, -0.485372, -0.069759
1.875, -0.493937, -0.042631
1.87, -0.502502, -0.062008
1.865, -0.511068, -0.065884
1.86, -0.516778, -0.056841
1.855, -0.528198, -0.045214
1.851, -0.533909, -0.078802
1.846, -0.542474, -0.071051
1.841, -0.551039, -0.038755
1.836, -0.55675, -0.074926
1.831, -0.565315, -0.069759
1.826, -0.571025, -0.051673
1.821, -0.582446, -0.046506
1.816, -0.588156, -0.073635
1.812, -0.596722, -0.0633
1.807, -0.602432, -0.037463
1.802, -0.610997, -0.081386
1.797, -0.619563, -0.071051
1.792, -0.628128, -0.046506
1.787, -0.633838, -0.056841
1.782, -0.642404, -0.073635
1.777, -0.650969, -0.059424
1.772, -0.659534, -0.042631
1.768, -0.665245, -0.078802
1.763, -0.67381, -0.071051
1.758, -0.68523, -0.045214
1.753, -0.688086, -0.069759
1.748, -0.699506, -0.073635
1.743, -0.705216, -0.055549
1.738, -0.710927, -0.041339
1.733, -0.719492, -0.072343
1.729, -0.728057, -0.0633
1.724, -0.736623, -0.03488
1.719, -0.745188, -0.078802
1.714, -0.750898, -0.069759
1.709, -0.756609, -0.054257
1.704, -0.768029, -0.062008
1.699, -0.773739, -0.073635
1.694, -0.782305, -0.062008
1.689, -0.79087, -0.038755
1.685, -0.799435, -0.07751
1.68, -0.808001, -0.069759
1.675, -0.813711, -0.045214
1.67, -0.822277, -0.067175
1.665, -0.827987, -0.072343
1.66, -0.836552, -0.056841
1.655, -0.845118, -0.04909
1.65, -0.853683, -0.078802
1.646, -0.856538, -0.071051
1.641, -0.867959, -0.040047
1.636, -0.876524, -0.078802
1.631, -0.882234, -0.072343
1.626, -0.893655, -0.056841
1.621, -0.899365, -0.056841
1.616, -0.90793, -0.07751
1.611, -0.916496, -0.065884
1.606, -0.925061, -0.045214
1.602, -0.930771, -0.082677
1.597, -0.939337, -0.073635
1.592, -0.945047, -0.046506
1.587, -0.953612, -0.059424
1.582, -0.962178, -0.073635
1.577, -0.967888, -0.058133
1.572, -0.976453, -0.047798
1.567, -0.985019, -0.082677
1.563, -0.993584, -0.074926
1.558, -1.002149, -0.047798
1.553, -1.005005, -0.073635
1.548, -1.016425, -0.074926
1.543, -1.022135, -0.058133
1.538, -1.030701, -0.04909
1.533, -1.039266, -0.076218
1.528, -1.047832, -0.071051
1.523, -1.053542, -0.042631
1.519, -1.062107, -0.078802
1.514, -1.070673, -0.074926
1.509, -1.079238, -0.052965
1.504, -1.084948, -0.052965
1.499, -1.093514, -0.078802
1.494, -1.102079, -0.062008
1.489, -1.110644, -0.045214
1.484, -1.116355, -0.078802
1.479, -1.12492, -0.073635
1.475, -1.13063, -0.047798
1.47, -1.139196, -0.072343
1.465, -1.147761, -0.07751
1.46, -1.156326, -0.058133
1.455, -1.164892, -0.04909
1.45, -1.170602, -0.081386
1.445, -1.179167, -0.076218
1.44, -1.187733, -0.047798
1.436, -1.196298, -0.085261
1.431, -1.202008, -0.078802
1.426, -1.210574, -0.062008
1.421, -1.219139, -0.058133
1.416, -1.227705, -0.078802
1.411, -1.233415, -0.071051
1.406, -1.24198, -0.050382
1.401, -1.250546, -0.085261
1.396, -1.256256, -0.07751
1.392, -1.264821, -0.050382
1.387, -1.273387, -0.065884
1.382, -1.281952, -0.076218
1.377, -1.287662, -0.058133
1.372, -1.296228, -0.050382
1.367, -1.304793, -0.082677
1.362, -1.313358, -0.076218
1.357, -1.319069, -0.051673
1.353, -1.327634, -0.080094
1.348, -1.333344, -0.080094
1.343, -1.34191, -0.059424
1.338, -1.350475, -0.055549
1.333, -1.356185, -0.081386
1.328, -1.364751, -0.071051
1.323, -1.373316, -0.047798
1.318, -1.379026, -0.082677
1.313, -1.390447, -0.078802
1.309, -1.399012, -0.055549
1.304, -1.404722, -0.062008
1.299, -1.413288, -0.081386
1.294, -1.418998, -0.064592
1.289, -1.427563, -0.051673
1.284, -1.436129, -0.081386
1.279, -1.441839, -0.076218
1.274, -1.450404, -0.052965
1.27, -1.45897, -0.065884
1.265, -1.467535, -0.080094
1.26, -1.473245, -0.056841
1.255, -1.481811, -0.051673
1.25, 0.499647, 2.813613
1.245, 0.491082, 2.860119
1.24, 0.485372, 2.40281
1.235, 0.476806, 1.820193
1.23, 0.468241, 1.393888
1.226, 0.459675, 1.105809
1.221, 0.453965, 0.819022
1.216, 0.448255, 0.630415
1.211, 0.43969, 0.496064
1.206, 0.428269, 0.406928
1.201, 0.422559, 0.297122
1.196, 0.413993, 0.241573
1.191, 0.408283, 0.227363
1.187, 0.399718, 0.16923
1.182, 0.394008, 0.139518
1.177, 0.385442, 0.127892
1.172, 0.374022, 0.122724
1.167, 0.368311, 0.073635
1.162, 0.362601, 0.068467
1.157, 0.354036, 0.090428
1.152, 0.34547, 0.037463
1.147, 0.336905, 0.041339
1.143, 0.331195, 0.043922
1.138, 0.322629, 0.047798
1.133, 0.316919, 0.016794
1.128, 0.305499, 0.015502
1.123, 0.296933, 0.046506
1.118, 0.291223, -0.010335
1.113, 0.282658, 0.001292
1.108, 0.276947, 0.012918
1.104, 0.268382, 0.003876
1.099, 0.259817, -0.007751
1.094, 0.251251, -0.007751
1.089, 0.245541, 0.019378
1.084, 0.236976, -0.031004
1.079, 0.22841, -0.021961
1.074, 0.219845, 0.003876
1.069, 0.214135, -0.023253
1.064, 0.205569, -0.021961
1.06, 0.197004, -0.019378
1.055, 0.191293, -0.001292
1.05, 0.179873, -0.037463
1.045, 0.174163, -0.03488
1.04, 0.165597, 0.002584
1.035, 0.159887, -0.047798
1.03, 0.151322, -0.031004
1.025, 0.142756, -0.023253
1.021, 0.134191, -0.019378
1.016, 0.128481, -0.036171
1.011, 0.119915, -0.036171
1.006, 0.114205, -0.002584
1.001, 0.102785, -0.056841
996.094, 0.097074, -0.046506
991.211, 0.088509, -0.021961
986.328, 0.079944, -0.041339
981.445, 0.071378, -0.042631
976.563, 0.068523, -0.036171
971.68, 0.057103, -0.018086
966.797, 0.051392, -0.056841
961.914, 0.042827, -0.04909
957.031, 0.034262, -0.023253
952.148, 0.025696, -0.062008
947.266, 0.019986, -0.04909
942.383, 0.011421, -0.040047
937.5, 0.002855, -0.029712
932.617, -0.00571, -0.054257
927.734, -0.011421, -0.051673
922.852, -0.019986, -0.016794
917.969, -0.028551, -0.065884
913.086, -0.037117, -0.050382
908.203, -0.045682, -0.031004
903.32, -0.051392, -0.042631
898.438, -0.057103, -0.052965
893.555, -0.065668, -0.04909
888.672, -0.077088, -0.027129
883.789, -0.082799, -0.069759
878.906, -0.091364, -0.060716
874.023, -0.097074, -0.033588
869.141, -0.108495, -0.059424
864.258, -0.114205, -0.056841
859.375, -0.12277, -0.046506
854.492, -0.128481, -0.032296
849.609, -0.137046, -0.067175
844.727, -0.145611, -0.059424
839.844, -0.154177, -0.027129
834.961, -0.162742, -0.074926
830.078, -0.168452, -0.060716
825.195, -0.179873, -0.045214
820.313, -0.182728, -0.041339
815.43, -0.194149, -0.059424
810.547, -0.199859, -0.056841
805.664, -0.208424, -0.033588
800.781, -0.214135, -0.076218
795.898, -0.225555, -0.067175
791.016, -0.231265, -0.043922
786.133, -0.239831, -0.055549
781.25, -0.245541, -0.064592
776.367, -0.251251, -0.051673
771.484, -0.262672, -0.033588
766.602, -0.271237, -0.071051
761.719, -0.276947, -0.062008
756.836, -0.288368, -0.037463
751.953, -0.294078, -0.076218
747.07, -0.302643, -0.0633
742.188, -0.308354, -0.051673
737.305, -0.316919, -0.042631
732.422, -0.322629, -0.0633
727.539, -0.33405, -0.060716
722.656, -0.33976, -0.029712
717.773, -0.348325, -0.074926
712.891, -0.354036, -0.064592
708.008, -0.362601, -0.047798
703.125, -0.371166, -0.054257
698.242, -0.376877, -0.065884
693.359, -0.382587, -0.054257
688.477, -0.394008, -0.037463
683.594, -0.399718, -0.076218
678.711, -0.408283, -0.065884
673.828, -0.419704, -0.038755
668.945, -0.425414, -0.069759
664.063, -0.433979, -0.071051
659.18, -0.43969, -0.055549
654.297, -0.448255, -0.040047
649.414, -0.45682, -0.071051
644.531, -0.465386, -0.064592
639.648, -0.473951, -0.033588
634.766, -0.479661, -0.07751
629.883, -0.485372, -0.067175
625, -0.493937, -0.04909
