TIME s, IN1, IN2
2.5, 0.502502, 1.835695
2.495, 0.491082, 1.962941
2.49, 0.485372, 2.079206
2.485, 0.479661, 1.692948
2.48, 0.471096, 1.579266
2.476, 0.462531, 1.435873
2.471, 0.45682, 1.185257
2.466, 0.448255, 1.261475
2.461, 0.43969, 1.021194
2.456, 0.431124, 1.080619
2.451, 0.422559, 0.976626
2.446, 0.413993, 0.9017
2.441, 0.408283, 0.959186
2.437, 0.399718, 0.787373
2.432, 0.394008, 0.932704
2.427, 0.385442, 0.802875
2.422, 0.374022, 0.780913
2.417, 0.368311, 0.839046
2.412, 0.362601, 0.723427
2.407, 0.351181, 0.828711
2.402, 0.34547, 0.693069
2.397, 0.336905, 0.784789
2.393, 0.331195, 0.728594
2.388, 0.319774, 0.6485
2.383, 0.316919, 0.767995
2.378, 0.305499, 0.635582
2.373, 0.296933, 0.716968
2.368, 0.291223, 0.646563
2.363, 0.282658, 0.660773
2.358, 0.276947, 0.688547
2.354, 0.268382, 0.564531
2.349, 0.259817, 0.693069
2.344, 0.251251, 0.594243
2.339, 0.245541, 0.60587
2.334, 0.236976, 0.607162
2.329, 0.231265, 0.559364
2.324, 0.219845, 0.625247
2.319, 0.214135, 0.510274
2.314, 0.205569, 0.612329
2.31, 0.199859, 0.554842
2.305, 0.188438, 0.508336
2.3, 0.179873, 0.572928
2.295, 0.174163, 0.4825
2.29, 0.165597, 0.553551
2.285, 0.159887, 0.470873
2.28, 0.148467, 0.500585
2.275, 0.142756, 0.512212
2.271, 0.134191, 0.428243
2.266, 0.125626, 0.523193
2.261, 0.11706, 0.438577
2.256, 0.11135, 0.471519
2.251, 0.102785, 0.438577
2.246, 0.094219, 0.420492
2.241, 0.085654, 0.461185
2.236, 0.079944, 0.37334
2.231, 0.071378, 0.456017
2.227, 0.065668, 0.40176
2.222, 0.057103, 0.39078
2.217, 0.048537, 0.42243
2.212, 0.042827, 0.35913
2.207, 0.031406, 0.409511
2.202, 0.025696, 0.343628
2.197, 0.019986, 0.383675
2.192, 0.011421, 0.365589
2.188, 0.00571, 0.309394
2.183, -0.00571, 0.379153
2.178, -0.011421, 0.31327
2.173, -0.019986, 0.346857
2.168, -0.028551, 0.311978
2.163, -0.034262, 0.310686
2.158, -0.039972, 0.323604
2.153, -0.051392, 0.26095
2.148, -0.057103, 0.325542
2.144, -0.065668, 0.276452
