TIME s, IN1, IN2
2.5, 0.502502, 2.835574
2.495, 0.493937, 2.706391
2.49, 0.485372, 2.196117
2.485, 0.476806, 1.727181
2.48, 0.471096, 1.267289
2.476, 0.465386, 0.937871
2.471, 0.45682, 0.716968
2.466, 0.448255, 0.534819
2.461, 0.43969, 0.381091
2.456, 0.431124, 0.284203
2.451, 0.422559, 0.233822
2.446, 0.413993, 0.170522
2.441, 0.408283, 0.114973
2.437, 0.399718, 0.108514
2.432, 0.394008, 0.085261
2.427, 0.385442, 0.042631
2.422, 0.376877, 0.037463
2.417, 0.368311, 0.04909
2.412, 0.362601, 0.01421
2.407, 0.354036, -0.001292
2.402, 0.348325, 0.020669
2.397, 0.336905, 0.010335
2.393, 0.331195, -0.021961
2.388, 0.322629, -0.006459
2.383, 0.316919, 0.006459
2.378, 0.308354, -0.024545
2.373, 0.296933, -0.02842
2.368, 0.291223, -0.005167
2.363, 0.282658, -0.016794
2.358, 0.276947, -0.038755
2.354, 0.268382, -0.01421
2.349, 0.259817, -0.015502
2.344, 0.251251, -0.042631
2.339, 0.245541, -0.040047
2.334, 0.236976, -0.015502
2.329, 0.231265, -0.032296
2.324, 0.2227, -0.051673
2.319, 0.214135, -0.021961
2.314, 0.205569, -0.023253
2.31, 0.199859, -0.051673
2.305, 0.188438, -0.040047
2.3, 0.179873, -0.020669
2.295, 0.174163, -0.051673
2.29, 0.165597, -0.051673
2.285, 0.159887, -0.024545
2.28, 0.148467, -0.036171
2.275, 0.145611, -0.054257
2.271, 0.134191, -0.036171
2.266, 0.128481, -0.029712
2.261, 0.119915, -0.058133
2.256, 0.114205, -0.054257
2.251, 0.10564, -0.025837
2.246, 0.097074, -0.04909
2.241, 0.088509, -0.062008
2.236, 0.079944, -0.036171
2.231, 0.071378, -0.036171
2.227, 0.065668, -0.058133
2.222, 0.057103, -0.055549
2.217, 0.048537, -0.033588
2.212, 0.039972, -0.059424
2.207, 0.034262, -0.064592
2.202, 0.025696, -0.033588
2.197, 0.019986, -0.041339
2.192, 0.011421, -0.065884
2.188, 0.002855, -0.045214
2.183, -0.00571, -0.033588
2.178, -0.011421, -0.065884
2.173, -0.017131, -0.067175
2.168, -0.025696, -0.037463
2.163, -0.034262, -0.04909
2.158, -0.039972, -0.068467
2.153, -0.051392, -0.043922
2.148, -0.057103, -0.043922
2.144, -0.065668, -0.064592
2.139, -0.077088, -0.058133
2.134, -0.082799, -0.038755
2.129, -0.091364, -0.058133
2.124, -0.097074, -0.068467
2.119, -0.10564, -0.038755
2.114, -0.114205, -0.041339
2.109, -0.12277, -0.064592
2.104, -0.128481, -0.054257
2.1, -0.137046, -0.037463
2.095, -0.145611, -0.067175
2.09, -0.154177, -0.068467
2.085, -0.162742, -0.042631
2.08, -0.168452, -0.051673
2.075, -0.179873, -0.068467
2.07, -0.185583, -0.045214
2.065, -0.194149, -0.038755
2.061, -0.199859, -0.069759
2.056, -0.208424, -0.068467
2.051, -0.214135, -0.040047
2.046, -0.2227, -0.062008
2.041, -0.231265, -0.071051
2.036, -0.239831, -0.042631
2.031, -0.245541, -0.047798
2.026, -0.251251, -0.071051
2.021, -0.262672, -0.060716
2.017, -0.271237, -0.037463
2.012, -0.276947, -0.068467
2.007, -0.285513, -0.072343
2.002, -0.294078, -0.043922
1.997, -0.302643, -0.052965
1.992, -0.308354, -0.071051
1.987, -0.316919, -0.056841
1.982, -0.322629, -0.043922
1.978, -0.33405, -0.069759
1.973, -0.33976, -0.071051
1.968, -0.348325, -0.043922
1.963, -0.356891, -0.058133
1.958, -0.362601, -0.074926
1.953, -0.371166, -0.050382
1.948, -0.379732, -0.047798
1.943, -0.385442, -0.072343
1.938, -0.394008, -0.0633
1.934, -0.399718, -0.043922
1.929, -0.408283, -0.069759
1.924, -0.416849, -0.080094
1.919, -0.425414, -0.051673
1.914, -0.433979, -0.051673
1.909, -0.43969, -0.07751
1.904, -0.448255, -0.059424
1.899, -0.453965, -0.04909
1.895, -0.465386, -0.07751
1.89, -0.471096, -0.074926
1.885, -0.479661, -0.047798
1.88, -0.485372, -0.055549
1.875, -0.493937, -0.076218
1.87, -0.502502, -0.050382
1.865, -0.511068, -0.047798
1.86, -0.516778, -0.072343
1.855, -0.525343, -0.067175
1.851, -0.533909, -0.041339
1.846, -0.542474, -0.056841
1.841, -0.551039, -0.076218
1.836, -0.55675, -0.047798
1.831, -0.565315, -0.04909
1.826, -0.571025, -0.076218
1.821, -0.579591, -0.064592
