TIME s, IN1, IN2
2.5, 0.502502, 2.799403
2.495, 0.493937, 2.708975
2.49, 0.488227, 2.188366
2.485, 0.476806, 1.727181
2.48, 0.471096, 1.284083
2.476, 0.462531, 0.950789
2.471, 0.45682, 0.718259
2.466, 0.448255, 0.550321
2.461, 0.43969, 0.397885
2.456, 0.431124, 0.29583
2.451, 0.422559, 0.244157
2.446, 0.413993, 0.1899
2.441, 0.408283, 0.127892
2.437, 0.399718, 0.111098
2.432, 0.394008, 0.103347
2.427, 0.385442, 0.055549
2.422, 0.379732, 0.037463
2.417, 0.368311, 0.051673
2.412, 0.362601, 0.037463
2.407, 0.354036, 0.009043
2.402, 0.348325, 0.024545
2.397, 0.336905, 0.020669
2.393, 0.331195, -0.006459
2.388, 0.322629, -0.009043
2.383, 0.316919, 0.010335
2.378, 0.308354, -0.005167
2.373, 0.296933, -0.025837
2.368, 0.291223, -0.001292
2.363, 0.282658, -0.002584
2.358, 0.276947, -0.02842
2.354, 0.268382, -0.020669
2.349, 0.259817, -0.003876
2.344, 0.251251, -0.033588
2.339, 0.245541, -0.038755
2.334, 0.23412, -0.01421
2.329, 0.22841, -0.01421
2.324, 0.219845, -0.041339
2.319, 0.214135, -0.021961
2.314, 0.205569, -0.012918
2.31, 0.197004, -0.045214
2.305, 0.188438, -0.043922
2.3, 0.179873, -0.018086
2.295, 0.174163, -0.03488
2.29, 0.162742, -0.047798
2.285, 0.159887, -0.021961
2.28, 0.148467, -0.021961
2.275, 0.142756, -0.047798
2.271, 0.134191, -0.045214
2.266, 0.128481, -0.020669
2.261, 0.119915, -0.046506
2.256, 0.114205, -0.051673
2.251, 0.10564, -0.027129
2.246, 0.097074, -0.029712
2.241, 0.088509, -0.052965
2.236, 0.082799, -0.040047
2.231, 0.074233, -0.021961
2.227, 0.065668, -0.051673
2.222, 0.057103, -0.052965
2.217, 0.051392, -0.024545
2.212, 0.042827, -0.037463
2.207, 0.037117, -0.059424
2.202, 0.025696, -0.036171
2.197, 0.019986, -0.031004
2.192, 0.011421, -0.056841
2.188, 0.00571, -0.055549
2.183, -0.002855, -0.02842
2.178, -0.011421, -0.045214
2.173, -0.019986, -0.060716
2.168, -0.025696, -0.033588
2.163, -0.034262, -0.033588
2.158, -0.042827, -0.058133
2.153, -0.048537, -0.050382
2.148, -0.057103, -0.031004
2.144, -0.065668, -0.058133
2.139, -0.074233, -0.062008
2.134, -0.079944, -0.036171
2.129, -0.088509, -0.041339
2.124, -0.097074, -0.062008
2.119, -0.10564, -0.043922
2.114, -0.114205, -0.03488
2.109, -0.12277, -0.059424
2.104, -0.128481, -0.059424
2.1, -0.137046, -0.036171
2.095, -0.142756, -0.045214
2.09, -0.154177, -0.065884
2.085, -0.159887, -0.038755
2.08, -0.168452, -0.036171
2.075, -0.177018, -0.065884
2.07, -0.182728, -0.059424
2.065, -0.191293, -0.037463
2.061, -0.199859, -0.064592
2.056, -0.205569, -0.067175
2.051, -0.214135, -0.038755
2.046, -0.225555, -0.041339
2.041, -0.231265, -0.064592
2.036, -0.236976, -0.051673
2.031, -0.245541, -0.038755
2.026, -0.251251, -0.060716
2.021, -0.259817, -0.0633
2.017, -0.268382, -0.036171
2.012, -0.276947, -0.042631
2.007, -0.285513, -0.0633
