TIME s, IN1, IN2
2.5, 0.499647, 0.491413
2.495, 0.491082, 0.719034
2.49, 0.485372, 0.819539
2.485, 0.476806, 0.86217
2.48, 0.468241, 0.871988
2.476, 0.462531, 0.873279
2.471, 0.453965, 0.863461
2.466, 0.4454, 0.836333
2.461, 0.43969, 0.812563
2.456, 0.431124, 0.792927
2.451, 0.419704, 0.759081
2.446, 0.413993, 0.728336
2.441, 0.405428, 0.704824
2.437, 0.396863, 0.675629
2.432, 0.391152, 0.643075
2.427, 0.382587, 0.616205
2.422, 0.374022, 0.59166
2.417, 0.368311, 0.561172
2.412, 0.359746, 0.53301
2.407, 0.354036, 0.514666
2.402, 0.34547, 0.488313
2.397, 0.336905, 0.460151
2.393, 0.331195, 0.44129
2.388, 0.319774, 0.420621
2.383, 0.314064, 0.394784
2.378, 0.305499, 0.372565
2.373, 0.296933, 0.357579
2.368, 0.288368, 0.336652
2.363, 0.282658, 0.314949
2.358, 0.274092, 0.301256
2.354, 0.265527, 0.287045
2.349, 0.259817, 0.265859
2.344, 0.251251, 0.249841
2.339, 0.245541, 0.240281
2.334, 0.236976, 0.221937
2.329, 0.22841, 0.205402
2.324, 0.219845, 0.197651
2.319, 0.214135, 0.186024
2.314, 0.205569, 0.168972
2.31, 0.197004, 0.159154
2.305, 0.188438, 0.151145
2.3, 0.179873, 0.136159
2.295, 0.174163, 0.122207
2.29, 0.162742, 0.11859
2.285, 0.157032, 0.108772
2.28, 0.148467, 0.092754
2.275, 0.142756, 0.088878
2.271, 0.131336, 0.083452
2.266, 0.125626, 0.068984
2.261, 0.11706, 0.060458
2.256, 0.11135, 0.059424
2.251, 0.102785, 0.04909
2.246, 0.097074, 0.03798
2.241, 0.085654, 0.036946
2.236, 0.079944, 0.033071
2.231, 0.071378, 0.020928
2.227, 0.065668, 0.016277
2.222, 0.057103, 0.01576
2.217, 0.048537, 0.005167
2.212, 0.042827, -0.002584
2.207, 0.034262, -0.001033
2.202, 0.025696, -0.006459
2.197, 0.019986, -0.015244
2.192, 0.011421, -0.015502
2.188, 0.002855, -0.017569
2.183, -0.00571, -0.026095
2.178, -0.011421, -0.032037
2.173, -0.019986, -0.029712
2.168, -0.028551, -0.036688
2.163, -0.037117, -0.043406
2.158, -0.045682, -0.041597
2.153, -0.051392, -0.042631
2.148, -0.059958, -0.05064
2.144, -0.068523, -0.053482
2.139, -0.077088, -0.050898
2.134, -0.082799, -0.057357
2.129, -0.091364, -0.063041
2.124, -0.102785, -0.059166
2.119, -0.108495, -0.061233
2.114, -0.114205, -0.068467
2.109, -0.12277, -0.067175
2.104, -0.128481, -0.066659
2.1, -0.139901, -0.073376
2.095, -0.145611, -0.077768
2.09, -0.154177, -0.073376
2.085, -0.162742, -0.076477
2.08, -0.168452, -0.082677
2.075, -0.179873, -0.08061
2.07, -0.185583, -0.07906
2.065, -0.194149, -0.086036
2.061, -0.199859, -0.088103
2.056, -0.208424, -0.083711
2.051, -0.214135, -0.089137
2.046, -0.225555, -0.094045
2.041, -0.231265, -0.09017
2.036, -0.239831, -0.089653
2.031, -0.245541, -0.096629
2.026, -0.256961, -0.095854
2.021, -0.262672, -0.093012
2.017, -0.271237, -0.099213
2.012, -0.279802, -0.102572
2.007, -0.288368, -0.096888
2.002, -0.294078, -0.097921
1.997, -0.302643, -0.104639
1.992, -0.308354, -0.100763
1.987, -0.316919, -0.099213
1.982, -0.325484, -0.105414
1.978, -0.331195, -0.107481
1.973, -0.33976, -0.102572
1.968, -0.348325, -0.106705
1.963, -0.356891, -0.110323
1.958, -0.362601, -0.106447
1.953, -0.374022, -0.104897
1.948, -0.379732, -0.111356
1.943, -0.385442, -0.111614
1.938, -0.396863, -0.106705
1.934, -0.402573, -0.111873
1.929, -0.411138, -0.11549
1.924, -0.419704, -0.110064
1.919, -0.425414, -0.109806
1.914, -0.433979, -0.115748
1.909, -0.442545, -0.113423
1.904, -0.45111, -0.110839
1.899, -0.45682, -0.11549
1.895, -0.465386, -0.11859
1.89, -0.473951, -0.112648
1.885, -0.482516, -0.115232
1.88, -0.488227, -0.119882
1.875, -0.496792, -0.11549
1.87, -0.502502, -0.113681
1.865, -0.511068, -0.119624
1.86, -0.519633, -0.120141
1.855, -0.528198, -0.114715
1.851, -0.536764, -0.119624
1.846, -0.542474, -0.122466
1.841, -0.551039, -0.117298
1.836, -0.55675, -0.116007
1.831, -0.56817, -0.121432
1.826, -0.57388, -0.119624
1.821, -0.582446, -0.116523
1.816, -0.588156, -0.121432
1.812, -0.599577, -0.124533
1.807, -0.605287, -0.118332
1.802, -0.610997, -0.118849
1.797, -0.619563, -0.124791
1.792, -0.628128, -0.120657
1.787, -0.636693, -0.118074
1.782, -0.642404, -0.123499
1.777, -0.650969, -0.125049
1.772, -0.659534, -0.119107
1.768, -0.6681, -0.122466
1.763, -0.67381, -0.1266
1.758, -0.682375, -0.121691
1.753, -0.688086, -0.119624
1.748, -0.699506, -0.125566
1.743, -0.705216, -0.125049
1.738, -0.713782, -0.120141
1.733, -0.722347, -0.124791
1.729, -0.728057, -0.127633
1.724, -0.736623, -0.122207
1.719, -0.745188, -0.121949
1.714, -0.750898, -0.127375
1.709, -0.756609, -0.123758
1.704, -0.765174, -0.121432
1.699, -0.773739, -0.126858
1.694, -0.782305, -0.129183
1.689, -0.79087, -0.122724
1.685, -0.799435, -0.125049
1.68, -0.808001, -0.129442
1.675, -0.813711, -0.125308
1.67, -0.822277, -0.122466
1.665, -0.830842, -0.12815
1.66, -0.836552, -0.129183
1.655, -0.845118, -0.122724
1.65, -0.853683, -0.127633
1.646, -0.856538, -0.130475
1.641, -0.867959, -0.124791
1.636, -0.876524, -0.124016
1.631, -0.885089, -0.129442
1.626, -0.893655, -0.126858
1.621, -0.899365, -0.123758
1.616, -0.90793, -0.128925
1.611, -0.913641, -0.130734
1.606, -0.925061, -0.125308
1.602, -0.930771, -0.126083
1.597, -0.939337, -0.130992
1.592, -0.945047, -0.127116
1.587, -0.953612, -0.125049
1.582, -0.959323, -0.129958
1.577, -0.967888, -0.131509
1.572, -0.976453, -0.125566
1.567, -0.985019, -0.128667
1.563, -0.993584, -0.132542
1.558, -0.999294, -0.127116
1.553, -1.005005, -0.125308
1.548, -1.016425, -0.130734
1.543, -1.022135, -0.1297
1.538, -1.033556, -0.125308
1.533, -1.039266, -0.1297
1.528, -1.047832, -0.1328
1.523, -1.056397, -0.126858
1.519, -1.062107, -0.126858
1.514, -1.073528, -0.133059
1.509, -1.079238, -0.129183
1.504, -1.084948, -0.126858
1.499, -1.093514, -0.131767
1.494, -1.099224, -0.133576
1.489, -1.107789, -0.127892
1.484, -1.116355, -0.130475
1.479, -1.12492, -0.134351
1.475, -1.13063, -0.1297
1.47, -1.139196, -0.127375
1.465, -1.144906, -0.133317
1.46, -1.153471, -0.133834
1.455, -1.162037, -0.127633
1.45, -1.170602, -0.132025
1.445, -1.179167, -0.134867
1.44, -1.184878, -0.1297
1.436, -1.193443, -0.128408
1.431, -1.202008, -0.133317
1.426, -1.210574, -0.132025
1.421, -1.216284, -0.128408
1.416, -1.224849, -0.133317
1.411, -1.23056, -0.135901
1.406, -1.24198, -0.1297
1.401, -1.24769, -0.130475
1.396, -1.256256, -0.135643
1.392, -1.264821, -0.131509
1.387, -1.270531, -0.128925
1.382, -1.281952, -0.134092
1.377, -1.287662, -0.135126
1.372, -1.293372, -0.129442
1.367, -1.301938, -0.133576
1.362, -1.313358, -0.136676
1.357, -1.319069, -0.131767
1.353, -1.327634, -0.129958
1.348, -1.333344, -0.135901
1.343, -1.34191, -0.133834
1.338, -1.34762, -0.129958
1.333, -1.35333, -0.134609
1.328, -1.364751, -0.137709
1.323, -1.373316, -0.131767
1.318, -1.379026, -0.131767
1.313, -1.387592, -0.137709
1.309, -1.399012, -0.133317
1.304, -1.404722, -0.131509
1.299, -1.413288, -0.136934
1.294, -1.418998, -0.138226
1.289, -1.424708, -0.132284
1.284, -1.433274, -0.134351
1.279, -1.441839, -0.138743
1.274, -1.450404, -0.133576
1.27, -1.456115, -0.131509
1.265, -1.467535, -0.136934
1.26, -1.473245, -0.136934
1.255, -1.481811, -0.131767
1.25, 0.502502, 0.482112
1.245, 0.493937, 0.715417
1.24, 0.488227, 0.817731
1.235, 0.476806, 0.865012
1.23, 0.471096, 0.872763
1.226, 0.459675, 0.872763
1.221, 0.453965, 0.861395
1.216, 0.442545, 0.837108
1.211, 0.436834, 0.811271
1.206, 0.428269, 0.78931
1.201, 0.419704, 0.760632
1.196, 0.413993, 0.728336
1.191, 0.408283, 0.704824
1.187, 0.396863, 0.676146
1.182, 0.394008, 0.642816
1.177, 0.382587, 0.614913
1.172, 0.376877, 0.591918
1.167, 0.368311, 0.561431
1.162, 0.362601, 0.53301
1.157, 0.351181, 0.511308
1.152, 0.34547, 0.488571
1.147, 0.336905, 0.460151
1.143, 0.331195, 0.437932
1.138, 0.322629, 0.419846
1.133, 0.316919, 0.394526
1.128, 0.305499, 0.370239
1.123, 0.296933, 0.357579
1.118, 0.291223, 0.338977
1.113, 0.282658, 0.315724
1.108, 0.276947, 0.300997
1.104, 0.268382, 0.287304
1.099, 0.259817, 0.266634
1.094, 0.251251, 0.24829
1.089, 0.245541, 0.239764
1.084, 0.236976, 0.222712
1.079, 0.231265, 0.203851
1.074, 0.219845, 0.196359
1.069, 0.21699, 0.186024
1.064, 0.205569, 0.167422
1.06, 0.199859, 0.156829
1.055, 0.191293, 0.150886
1.05, 0.182728, 0.134609
1.045, 0.174163, 0.121691
1.04, 0.165597, 0.118074
1.035, 0.159887, 0.109806
1.03, 0.148467, 0.093529
1.025, 0.142756, 0.088878
1.021, 0.134191, 0.083452
1.016, 0.128481, 0.070276
1.011, 0.119915, 0.060458
1.006, 0.11135, 0.059424
1.001, 0.102785, 0.049606
996.094, 0.097074, 0.038755
991.211, 0.088509, 0.037463
986.328, 0.079944, 0.033071
981.445, 0.071378, 0.021703
976.563, 0.065668, 0.01576
971.68, 0.057103, 0.016277
966.797, 0.048537, 0.006976
961.914, 0.042827, -0.001292
957.031, 0.034262, -0.000775
952.148, 0.025696, -0.004392
947.266, 0.019986, -0.013952
942.383, 0.011421, -0.016794
937.5, 0.002855, -0.017052
932.617, -0.00571, -0.025578
927.734, -0.011421, -0.031779
922.852, -0.019986, -0.029454
917.969, -0.025696, -0.033588
913.086, -0.034262, -0.041855
908.203, -0.042827, -0.040822
903.32, -0.051392, -0.041597
898.438, -0.057103, -0.049865
893.555, -0.065668, -0.05374
888.672, -0.074233, -0.05064
883.789, -0.079944, -0.056582
878.906, -0.091364, -0.063041
874.023, -0.097074, -0.059941
869.141, -0.10564, -0.060716
864.258, -0.11135, -0.068726
859.375, -0.119915, -0.069759
854.492, -0.128481, -0.066659
849.609, -0.137046, -0.073893
844.727, -0.142756, -0.078285
839.844, -0.151322, -0.073893
834.961, -0.159887, -0.075185
830.078, -0.168452, -0.083194
825.195, -0.177018, -0.080869
820.313, -0.182728, -0.080094
815.43, -0.194149, -0.086553
810.547, -0.197004, -0.089395
805.664, -0.208424, -0.084744
800.781, -0.214135, -0.088878
795.898, -0.2227, -0.093529
791.016, -0.22841, -0.090428
786.133, -0.239831, -0.089137
781.25, -0.245541, -0.096629
776.367, -0.251251, -0.097404
771.484, -0.259817, -0.092495
766.602, -0.268382, -0.098179
761.719, -0.276947, -0.102313
756.836, -0.285513, -0.097663
