TIME s, IN1, IN2
2.5, 0.502502, 1.103872
2.495, 0.491082, 1.722014
2.49, 0.485372, 1.953252
2.485, 0.476806, 2.070809
2.48, 0.468241, 2.135401
2.476, 0.459675, 2.12765
2.471, 0.453965, 2.097938
2.466, 0.4454, 2.066933
2.461, 0.436834, 2.016552
2.456, 0.428269, 1.944855
2.451, 0.419704, 1.880909
2.446, 0.413993, 1.822131
2.441, 0.405428, 1.742683
2.437, 0.399718, 1.66259
2.432, 0.391152, 1.611562
2.427, 0.382587, 1.543095
2.422, 0.376877, 1.45848
2.417, 0.368311, 1.406161
2.412, 0.359746, 1.348674
2.407, 0.354036, 1.276331
2.402, 0.34547, 1.209802
2.397, 0.336905, 1.166526
2.393, 0.331195, 1.104518
2.388, 0.322629, 1.037988
2.383, 0.316919, 0.999879
2.378, 0.305499, 0.954019
2.373, 0.296933, 0.888135
2.368, 0.291223, 0.844213
2.363, 0.282658, 0.811917
2.358, 0.274092, 0.752493
2.354, 0.265527, 0.707279
2.349, 0.259817, 0.68338
2.344, 0.251251, 0.640104
2.339, 0.245541, 0.592306
2.334, 0.23412, 0.567115
2.329, 0.22841, 0.538695
2.324, 0.219845, 0.490897
2.319, 0.214135, 0.456017
2.314, 0.205569, 0.441161
2.31, 0.197004, 0.40176
2.305, 0.188438, 0.365589
2.3, 0.179873, 0.352671
2.295, 0.174163, 0.328772
2.29, 0.165597, 0.290663
2.285, 0.159887, 0.268055
2.28, 0.148467, 0.257721
2.275, 0.142756, 0.224133
2.271, 0.134191, 0.197651
2.266, 0.128481, 0.191837
2.261, 0.11706, 0.173106
2.256, 0.11135, 0.142748
2.251, 0.102785, 0.131121
2.246, 0.097074, 0.120786
2.241, 0.088509, 0.093012
2.236, 0.082799, 0.074926
2.231, 0.071378, 0.07428
2.227, 0.065668, 0.056195
2.222, 0.057103, 0.03165
2.217, 0.048537, 0.029066
2.212, 0.039972, 0.021961
2.207, 0.034262, -0.003876
2.202, 0.025696, -0.01744
2.197, 0.017131, -0.01421
2.192, 0.008565, -0.03488
2.188, 0.002855, -0.051673
2.183, -0.00571, -0.047798
2.178, -0.011421, -0.054903
2.173, -0.019986, -0.07751
2.168, -0.031406, -0.082031
2.163, -0.034262, -0.079448
2.158, -0.045682, -0.099471
2.153, -0.051392, -0.113035
2.148, -0.059958, -0.104639
2.144, -0.065668, -0.113035
2.139, -0.077088, -0.134351
2.134, -0.082799, -0.129829
2.129, -0.094219, -0.131767
2.124, -0.102785, -0.151145
2.119, -0.108495, -0.15825
2.114, -0.114205, -0.150499
2.109, -0.12277, -0.166001
2.104, -0.131336, -0.176981
2.1, -0.137046, -0.16923
2.095, -0.145611, -0.171168
2.09, -0.154177, -0.187962
2.085, -0.162742, -0.191191
2.08, -0.168452, -0.181503
2.075, -0.179873, -0.198942
2.07, -0.185583, -0.207985
2.065, -0.194149, -0.198296
2.061, -0.199859, -0.202818
2.056, -0.211279, -0.217674
2.051, -0.219845, -0.213798
2.046, -0.225555, -0.210569
2.041, -0.231265, -0.225425
2.036, -0.239831, -0.231884
2.031, -0.248396, -0.220258
2.026, -0.256961, -0.2293
2.021, -0.262672, -0.242219
2.017, -0.271237, -0.231238
2.012, -0.276947, -0.230592
2.007, -0.285513, -0.24674
2.002, -0.291223, -0.248678
1.997, -0.302643, -0.236406
1.992, -0.308354, -0.24997
1.987, -0.316919, -0.257721
1.982, -0.325484, -0.24674
1.978, -0.33405, -0.24674
1.973, -0.342615, -0.260304
1.968, -0.348325, -0.255137
1.963, -0.356891, -0.24997
1.958, -0.365456, -0.262888
1.953, -0.374022, -0.269347
1.948, -0.379732, -0.255783
1.943, -0.385442, -0.259659
1.938, -0.394008, -0.274515
1.934, -0.402573, -0.263534
1.929, -0.411138, -0.260304
1.924, -0.419704, -0.274515
1.919, -0.425414, -0.277098
1.914, -0.436834, -0.264826
1.909, -0.442545, -0.274515
1.904, -0.45111, -0.283557
1.899, -0.45682, -0.273223
1.895, -0.465386, -0.270639
1.89, -0.473951, -0.284849
1.885, -0.482516, -0.282912
1.88, -0.488227, -0.272577
1.875, -0.496792, -0.286787
1.87, -0.502502, -0.2926
1.865, -0.511068, -0.27839
1.86, -0.519633, -0.282266
1.855, -0.528198, -0.294538
1.851, -0.536764, -0.286141
1.846, -0.542474, -0.28162
1.841, -0.551039, -0.295184
1.836, -0.55675, -0.297768
1.831, -0.565315, -0.284849
1.826, -0.57388, -0.293246
1.821, -0.582446, -0.302935
1.816, -0.588156, -0.290663
1.812, -0.599577, -0.288079
1.807, -0.605287, -0.302935
1.802, -0.613852, -0.301643
1.797, -0.619563, -0.288079
1.792, -0.628128, -0.301643
1.787, -0.633838, -0.307456
1.782, -0.642404, -0.2926
1.777, -0.650969, -0.293892
1.772, -0.659534, -0.305519
1.768, -0.6681, -0.300351
1.763, -0.676665, -0.293892
1.758, -0.68523, -0.304873
1.753, -0.690941, -0.309394
1.748, -0.699506, -0.29583
1.743, -0.705216, -0.299705
1.738, -0.710927, -0.311332
1.733, -0.722347, -0.299705
1.729, -0.728057, -0.29583
1.724, -0.736623, -0.309394
1.719, -0.745188, -0.308748
1.714, -0.750898, -0.296476
1.709, -0.759464, -0.307456
1.704, -0.768029, -0.313916
1.699, -0.773739, -0.300351
1.694, -0.782305, -0.299059
1.689, -0.79087, -0.311978
1.685, -0.799435, -0.306165
