TIME s, IN1, IN2
2.5, 0.499647, 2.79036
2.495, 0.491082, 2.683138
2.49, 0.485372, 2.20516
2.485, 0.476806, 1.687135
2.48, 0.471096, 1.242744
2.476, 0.459675, 0.961124
2.471, 0.453965, 0.729886
2.466, 0.448255, 0.516733
2.461, 0.436834, 0.404344
2.456, 0.428269, 0.329418
2.451, 0.422559, 0.219612
2.446, 0.413993, 0.167938
2.441, 0.405428, 0.15502
2.437, 0.399718, 0.103347
2.432, 0.394008, 0.069759
2.427, 0.382587, 0.069759
2.422, 0.374022, 0.060716
2.417, 0.365456, 0.021961
2.412, 0.359746, 0.018086
2.407, 0.351181, 0.033588
2.402, 0.342615, 0.001292
2.397, 0.336905, -0.007751
2.393, 0.32834, 0.009043
2.388, 0.319774, 0.007751
2.383, 0.314064, -0.018086
2.378, 0.305499, -0.015502
2.373, 0.296933, 0.005167
2.368, 0.288368, -0.032296
2.363, 0.282658, -0.03488
2.358, 0.274092, -0.005167
2.354, 0.265527, -0.01421
2.349, 0.259817, -0.032296
2.344, 0.248396, -0.016794
2.339, 0.242686, -0.011627
2.334, 0.23412, -0.040047
2.329, 0.22841, -0.041339
2.324, 0.219845, -0.01421
2.319, 0.211279, -0.036171
2.314, 0.202714, -0.046506
2.31, 0.197004, -0.025837
2.305, 0.188438, -0.020669
2.3, 0.179873, -0.04909
2.295, 0.174163, -0.038755
2.29, 0.165597, -0.015502
2.285, 0.159887, -0.051673
2.28, 0.148467, -0.056841
2.275, 0.142756, -0.029712
2.271, 0.134191, -0.032296
2.266, 0.125626, -0.052965
2.261, 0.119915, -0.041339
2.256, 0.11135, -0.023253
2.251, 0.102785, -0.055549
2.246, 0.097074, -0.055549
2.241, 0.088509, -0.032296
2.236, 0.079944, -0.043922
2.231, 0.071378, -0.059424
2.227, 0.065668, -0.037463
2.222, 0.057103, -0.025837
2.217, 0.045682, -0.058133
2.212, 0.042827, -0.052965
2.207, 0.031406, -0.032296
2.202, 0.025696, -0.060716
2.197, 0.019986, -0.0633
2.192, 0.008565, -0.046506
2.188, 0.002855, -0.041339
2.183, -0.00571, -0.058133
2.178, -0.011421, -0.04909
2.173, -0.019986, -0.025837
2.168, -0.031406, -0.058133
2.163, -0.034262, -0.059424
2.158, -0.045682, -0.037463
2.153, -0.051392, -0.046506
2.148, -0.057103, -0.058133
2.144, -0.065668, -0.040047
2.139, -0.077088, -0.032296
2.134, -0.082799, -0.0633
2.129, -0.091364, -0.059424
2.124, -0.102785, -0.032296
2.119, -0.108495, -0.059424
2.114, -0.114205, -0.067175
2.109, -0.12277, -0.040047
2.104, -0.128481, -0.036171
2.1, -0.137046, -0.064592
2.095, -0.145611, -0.059424
2.09, -0.154177, -0.036171
2.085, -0.162742, -0.069759
2.08, -0.168452, -0.067175
2.075, -0.179873, -0.040047
2.07, -0.185583, -0.047798
2.065, -0.194149, -0.064592
2.061, -0.199859, -0.046506
2.056, -0.208424, -0.036171
2.051, -0.214135, -0.0633
2.046, -0.225555, -0.0633
2.041, -0.231265, -0.036171
2.036, -0.239831, -0.051673
2.031, -0.245541, -0.069759
2.026, -0.254106, -0.04909
2.021, -0.262672, -0.041339
2.017, -0.268382, -0.067175
2.012, -0.276947, -0.059424
2.007, -0.285513, -0.03488
2.002, -0.291223, -0.064592
1.997, -0.299788, -0.065884
1.992, -0.308354, -0.046506
1.987, -0.316919, -0.043922
1.982, -0.325484, -0.0633
1.978, -0.331195, -0.052965
1.973, -0.342615, -0.032296
1.968, -0.348325, -0.068467
1.963, -0.356891, -0.067175
1.958, -0.362601, -0.043922
1.953, -0.374022, -0.059424
1.948, -0.379732, -0.071051
1.943, -0.385442, -0.04909
1.938, -0.396863, -0.041339
1.934, -0.402573, -0.069759
1.929, -0.411138, -0.069759
1.924, -0.419704, -0.041339
1.919, -0.425414, -0.065884
1.914, -0.433979, -0.071051
1.909, -0.442545, -0.050382
1.904, -0.45111, -0.046506
1.899, -0.45682, -0.071051
1.895, -0.465386, -0.0633
1.89, -0.471096, -0.041339
1.885, -0.482516, -0.074926
1.88, -0.488227, -0.072343
1.875, -0.496792, -0.045214
1.87, -0.502502, -0.050382
1.865, -0.511068, -0.0633
1.86, -0.516778, -0.04909
1.855, -0.528198, -0.040047
1.851, -0.533909, -0.069759
1.846, -0.542474, -0.069759
1.841, -0.551039, -0.040047
1.836, -0.55675, -0.056841
1.831, -0.565315, -0.069759
1.826, -0.57388, -0.046506
1.821, -0.579591, -0.043922
1.816, -0.588156, -0.072343
1.812, -0.596722, -0.067175
1.807, -0.602432, -0.041339
1.802, -0.613852, -0.069759
1.797, -0.619563, -0.072343
1.792, -0.625273, -0.051673
1.787, -0.633838, -0.051673
1.782, -0.642404, -0.072343
1.777, -0.650969, -0.059424
1.772, -0.659534, -0.045214
1.768, -0.665245, -0.076218
1.763, -0.67381, -0.072343
