TIME s, IN1, IN2
2.5, 0.502502, 1.207218
2.495, 0.493937, 2.123128
2.49, 0.488227, 2.513908
2.485, 0.479661, 2.82201
2.48, 0.471096, 2.966695
2.476, 0.465386, 3.142385
2.471, 0.45682, 3.167576
2.466, 0.45111, 3.278028
2.461, 0.43969, 3.321304
2.456, 0.431124, 3.30451
2.451, 0.422559, 3.385895
2.446, 0.413993, 3.343911
2.441, 0.408283, 3.370394
2.437, 0.399718, 3.345203
2.432, 0.394008, 3.330992
2.427, 0.385442, 3.328409
2.422, 0.379732, 3.258004
2.417, 0.368311, 3.291592
2.412, 0.362601, 3.230875
2.407, 0.354036, 3.19858
2.402, 0.348325, 3.174035
2.397, 0.33976, 3.119778
2.393, 0.33405, 3.102338
2.388, 0.322629, 3.021598
2.383, 0.316919, 3.019015
2.378, 0.308354, 2.960882
2.373, 0.299788, 2.886602
2.368, 0.294078, 2.880143
2.363, 0.282658, 2.810384
2.358, 0.276947, 2.768399
2.354, 0.268382, 2.702516
2.349, 0.262672, 2.674095
2.344, 0.251251, 2.618546
2.339, 0.245541, 2.541682
2.334, 0.236976, 2.530702
2.329, 0.231265, 2.462234
2.324, 0.2227, 2.40604
2.319, 0.21699, 2.35695
2.314, 0.205569, 2.314965
2.31, 0.197004, 2.260063
2.305, 0.188438, 2.185782
2.3, 0.182728, 2.168342
2.295, 0.174163, 2.101813
2.29, 0.165597, 2.039159
2.285, 0.159887, 2.004925
2.28, 0.148467, 1.946793
2.275, 0.142756, 1.898349
2.271, 0.137046, 1.833758
2.266, 0.128481, 1.801462
2.261, 0.119915, 1.746559
2.256, 0.114205, 1.684551
2.251, 0.10564, 1.658714
2.246, 0.097074, 1.603165
2.241, 0.088509, 1.549554
2.236, 0.082799, 1.499173
2.231, 0.074233, 1.466231
2.227, 0.065668, 1.41262
2.222, 0.057103, 1.357071
2.217, 0.051392, 1.329942
2.212, 0.042827, 1.281499
2.207, 0.034262, 1.230471
2.202, 0.025696, 1.189779
2.197, 0.019986, 1.154899
2.192, 0.011421, 1.103226
2.188, 0.00571, 1.050261
2.183, -0.00571, 1.030237
2.178, -0.011421, 0.985023
2.173, -0.019986, 0.936579
2.168, -0.025696, 0.905575
2.163, -0.034262, 0.874571
2.158, -0.039972, 0.824836
2.153, -0.051392, 0.782851
2.148, -0.057103, 0.767349
2.144, -0.065668, 0.719551
2.139, -0.074233, 0.676921
2.134, -0.082799, 0.65496
2.129, -0.091364, 0.627831
2.124, -0.097074, 0.581971
2.119, -0.10564, 0.549675
2.114, -0.11135, 0.536757
2.109, -0.12277, 0.485083
2.104, -0.128481, 0.456663
2.1, -0.134191, 0.441807
2.095, -0.142756, 0.414033
2.09, -0.154177, 0.374632
2.085, -0.162742, 0.353316
2.08, -0.168452, 0.34169
2.075, -0.179873, 0.29583
2.07, -0.182728, 0.270639
2.065, -0.194149, 0.26418
2.061, -0.199859, 0.228009
2.056, -0.208424, 0.204756
2.051, -0.214135, 0.1899
2.046, -0.225555, 0.176335
2.041, -0.231265, 0.141456
2.036, -0.239831, 0.12337
2.031, -0.245541, 0.12337
2.026, -0.256961, 0.085261
2.021, -0.262672, 0.069113
2.017, -0.268382, 0.062654
2.012, -0.276947, 0.048444
2.007, -0.285513, 0.024545
2.002, -0.291223, 0.009689
1.997, -0.302643, 0.012272
1.992, -0.308354, -0.020669
1.987, -0.316919, -0.034234
1.982, -0.322629, -0.032296
1.978, -0.331195, -0.051027
1.973, -0.336905, -0.067821
1.968, -0.348325, -0.075572
1.963, -0.356891, -0.074926
1.958, -0.362601, -0.103347
1.953, -0.371166, -0.11239
1.948, -0.379732, -0.102055
1.943, -0.385442, -0.127892
1.938, -0.394008, -0.136934
1.934, -0.399718, -0.136934
1.929, -0.411138, -0.138226
1.924, -0.416849, -0.160833
1.919, -0.425414, -0.165355
1.914, -0.433979, -0.155666
1.909, -0.43969, -0.182794
1.904, -0.448255, -0.1899
1.899, -0.453965, -0.18344
1.895, -0.465386, -0.1899
1.89, -0.471096, -0.205402
1.885, -0.479661, -0.206693
1.88, -0.485372, -0.200234
1.875, -0.493937, -0.224133
1.87, -0.502502, -0.227363
